phi G_K1 G_Kr G_Ks G_to P_CaL G_CaT G_Na G_F K_NaCa P_NaK G_b_Na G_b_Ca G_PCa fitness
0.775627658464507 0.675315388900237 2.65043375398348 4.33455498031716 0.0091965633165719 0.288795957409403 0.389463169623265 0.335000689494233 1.5125078130654 2.88828476362282 0.391603938087807 0.0359922869087957 0.586478574190448 0.609345617853267 132.47358735935
0.775627658464507 0.675315388900237 2.65043375398348 4.33455498031716 0.0245024150795866 0.292615310827616 0.419558628373403 0.349076839503715 1.59638453755266 2.99288574152303 0.438024414975609 0.0353352918641524 0.52664729557802 0.609345617853267 133.175263083049
0.775627658464507 0.675315388900237 2.65043375398348 4.33455498031716 0.0143269507531553 0.293383151773089 0.406567033682468 0.335000689494233 1.51213508013266 2.90164575872791 0.370171646622439 0.035932819208672 0.496448389316529 0.609345617853267 133.427304449999
0.775627658464507 0.254139933547297 2.65043375398348 4.33455498031716 8.63727699381584e-17 0.315902217298404 0.475337390529956 0.310484960559858 1.70360669126941 2.99882043447656 0.408051223807397 0.0202212343076149 0.154906479133971 0.748181302371935 133.932624019206
0.775627658464507 0.675315388900237 2.64064876375045 4.85007913459949 0.0597692188130762 0.305419610750422 0.500352557800577 0.341132957759235 1.57993905097201 2.89854287100195 0.324433008868784 0.0256760376448655 0.168742660541245 0.734142880159932 135.369829688796
0.775627658464507 0.675315388900237 2.16791342561285 4.33455498031716 0.0911911761356234 0.25474162014827 0.599362554884718 0.353477935289333 2.11041961179405 3.54578445216208 0.816564716577447 0.0336584678286154 0.147152137253989 0.609345617853267 136.149932960636
0.775627658464507 0.675315388900237 2.68395767315895 4.82740793548166 0.0287560322475717 0.315902217298404 0.475337390529956 0.335000689494233 1.49740328207473 2.98769455484971 0.416570658220734 0.0256062896738713 0.168815737938532 0.753036945296376 136.197381490154
0.775627658464507 0.675315388900237 2.65915890157956 4.33455498031716 0.0211541034645674 0.315902217298404 0.481487742388683 0.31720595968195 1.47499110459859 2.92858265751705 0.541704740150464 0.0409560400821578 0.159868612029704 0.684609805741913 136.412183133392
0.775627658464507 0.675315388900237 2.65043375398348 4.33455498031716 0.0043566126949029 0.315902217298404 0.475337390529956 0.335000689494233 1.56044931832064 2.65486285916453 0.172298736922031 0.0369245463148413 0.172678336193133 0.609345617853267 136.408470529979
0.775627658464507 0.675315388900237 2.66240783818689 4.33455498031716 0.0203961346294869 0.315902217298404 0.481593868242546 0.328062976486971 1.49158375261369 2.92459134298909 0.531001484052658 0.0431744415200219 0.162709578064811 0.609345617853267 136.437683202294
0.775627658464507 0.675315388900237 2.65043375398348 4.33455498031716 0.0100624222964752 0.315902217298404 0.475337390529956 0.310484960559858 1.53321751900284 2.99882043447656 0.408051223807397 0.0364865523874681 0.154906479133971 0.748181302371935 136.457028197007
0.775627658464507 0.675315388900237 2.65043375398348 4.74419861872559 0.041033533069522 0.315902217298404 0.475337390529956 0.331374149913206 1.47245930244801 2.93605294768544 0.396072123790056 0.0237766900127633 0.163306875640608 0.778768187281514 136.473399099789
0.775627658464507 0.675315388900237 2.65043375398348 4.33455498031716 0.0091965633165719 0.315902217298404 0.475337390529956 0.335000689494233 1.5125078130654 2.88828476362282 0.391603938087807 0.0359922869087957 0.168242250001214 0.609345617853267 136.547396292118
0.981442204369837 0.675315388900237 2.65043375398348 4.33455498031716 1.91531084435454e-10 0.315902217298404 0.425315919133062 0.335000689494233 1.39022783841276 3.5476021964865 0.720341800337783 0.028784278781832 0.148990983271596 0.745357053476542 136.5871571725
0.775627658464507 0.675315388900237 2.65043375398348 4.86585655490112 0.0364812648609254 0.315902217298404 0.475337390529956 0.335000689494233 1.50989011979148 2.86624297713052 0.213432366580016 0.0229176236298079 0.171979829189313 0.783352587965664 136.642278232136
0.727586259562172 0.675315388900237 2.55327989918782 5.33012132214159 0.0508868710946942 0.312222337562124 0.475337390529956 0.334907224051104 1.67018327980922 2.87898058001712 0.353652979687797 0.0357356864532808 0.472409953885092 0.612204854065696 136.695581949607
